date,recipient,amount,lobbyist,employer
12/11/2012,Pawar,$500.00,Paul Rosenfeld,Government Navigation Group
10/10/2012,Burns,$1000.00,Paul Rosenfeld,Government Navigation Group
12/06/2012,Dowell,$1500.00,Yafawn Smith,Comcast
12/06/2012,Sawyer,$1000.00,Yafawn Smith,Comcast
10/03/2012,NA,$500.00,Yafawn Smith,Comcast
10/24/2012,O'Connor,$300.00,Lisa Ouzounion,Comcast
03/14/2013,Arena,$150.00,Thomas Murphy,"Thomas J. Murphy, P.C."
01/28/2013,Ervin,$500.00,Jeanette Sublett,"Neal & Leroy, LLC"
09/25/2012,Jackson,$50.00,Jonathon Perman,The Perman Group
03/21/2013,Moreno,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/04/2013,NA,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
03/21/2013,Moreno,$250.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
02/25/2013,Moore,$250.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
03/31/2013,NA,$0.00,Morgan Bassey,Harvestons Securities Inc
01/16/2013,Cardenas,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Reilly,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Moreno,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Reilly,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/16/2013,Cardenas,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Ervin,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/29/2013,Austin,$150.00,Darryl Denham,Xerox Corporation
04/01/2013,NA,$1500.00,Mara Georges,Daley and Georges Ltd.
04/22/2013,NA,$250.00,Mara Georges,Daley and Georges Ltd.
02/06/2013,Hairston,$150.00,Graham Grady,Shefsky & Froelich Ltd.
02/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
06/10/2013,Tunney,$300.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
05/30/2013,NA,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
05/13/2013,NA,$125.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
04/26/2013,Munoz,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/15/2013,Beale,$250.00,Donald Robinson,Donald Robinson
03/25/2013,Solis,$150.00,Danielle Cassel,Vedder Price PC
04/13/2013,O'Connor,$100.00,Terrance Diamond,"Neal & Leroy, LLC"
03/27/2013,Moore,$100.00,William Filan,William Filan Ltd
02/07/2013,Austin,$200.00,William Filan,William Filan Ltd
03/27/2013,Moore,$100.00,William Filan,William Filan Ltd
02/08/2013,NA,$250.00,William Filan,William Filan Ltd
06/13/2013,NA,$400.00,Samuel Polsky,Polsky & Associates Ltd.
02/21/2013,Ervin,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Mell,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/06/2013,Hairston,$150.00,Graham Grady,Shefsky & Froelich Ltd.
06/07/2013,Tunney,$1500.00,Jerry Mickelson,Jam Productions. Ltd.
02/26/2013,NA,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
02/25/2013,Beale,$25.00,Danielle Cassel,Vedder Price PC
03/25/2013,Sawyer,$500.00,Arnold Harris,Arnold Scott Harris PC
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
02/14/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
06/13/2013,NA,$500.00,Betsy Sales,"Serafin & Associates, Inc."
06/07/2013,Burnett,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/17/2013,Cardenas,$250.00,Mary Minaghan dba MKM Services,MKM Services
02/21/2013,Reilly,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/12/2013,Beale,$200.00,Michael Sutton,"Infrastructure Engineering, Inc."
04/22/2013,NA,$0.00,Kevin Mendoza,"JCDecaux Chicago, LLC"
04/17/2013,Pawar,$500.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
03/27/2013,NA,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
01/27/2013,NA,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
05/04/2013,Munoz,$250.00,John George,"Schuyler, Roche & Crisham PC"
02/26/2013,NA,$250.00,Bridget O'Keefe,"Daspin & Aument, LLP"
05/09/2013,Ervin,$250.00,Marcus Nunes,"Chico & Nunes, PC"
06/07/2013,O'Connor,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,Moore,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/21/2013,Reilly,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/27/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
06/19/2013,NA,$250.00,Pat Doerr,Hospitality Business Association of Chicago
05/07/2013,NA,$100.00,Brendan Shiller,Lakeview Strategy Group
05/07/2013,Graham,$500.00,Brendan Shiller,Lakeview Strategy Group
03/21/2013,Moreno,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
02/25/2013,Moore,$250.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
03/27/2013,NA,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
05/04/2013,Hairston,$250.00,John George,"Schuyler, Roche & Crisham PC"
02/07/2013,Austin,$200.00,William Filan,William Filan Ltd
01/25/2013,Cardenas,$500.00,Paul Rosenfeld,Government Navigation Group
09/24/2013,Austin,$1000.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
09/18/2013,Moreno,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
09/11/2013,Suarez,$125.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
09/04/2013,Munoz,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
08/29/2013,NA,$125.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
06/07/2013,Burnett,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/16/2013,Cardenas,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/11/2013,Munoz,$250.00,James Houlihan,"ALL-CIRCO, Inc."
06/20/2013,Tunney,$300.00,Mara Georges,Daley and Georges Ltd.
05/28/2013,Burns,$250.00,Mara Georges,Daley and Georges Ltd.
05/31/2013,Preckwinkle,$500.00,Mara Georges,Daley and Georges Ltd.
08/24/2013,NA,$250.00,Jeanette Sublett,"Neal & Leroy, LLC"
02/08/2013,NA,$250.00,William Filan,William Filan Ltd
08/13/2013,Cardenas,$150.00,William Filan,William Filan Ltd
02/21/2013,Mell,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,Moore,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/07/2013,O'Connor,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/06/2013,Zalewski,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
12/13/2013,Thompson,$250.00,Jerry Mickelson,Jam Productions. Ltd.
04/11/2013,Sawyer,$150.00,Danielle Cassel,Vedder Price PC
07/15/2013,Suarez,$100.00,Terrance Diamond,"Neal & Leroy, LLC"
09/19/2013,NA,$100.00,Carol Stubblefield,"Neal & Leroy, LLC"
07/19/2013,Cappleman,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/19/2013,Burke,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/13/2013,Austin,$1000.00,Betsy Sales,"Serafin & Associates, Inc."
09/13/2013,Emanuel,$150.00,Betsy Sales,"Serafin & Associates, Inc."
04/17/2013,O'Connor,$100.00,Katriina McGuire,"Schain, Burney, Banks & Kenny, Ltd"
03/25/2013,NA,$250.00,William Banks,"Schain, Burney, Banks & Kenny, Ltd"
09/13/2013,Moore,$1000.00,Arnold Harris,Arnold Scott Harris PC
09/10/2013,Reilly,$250.00,Donna Pugh,"Foley & Lardner, LLP"
08/29/2013,NA,$150.00,Jorge Perez,Hispanic American Construction Industry Assoc. (HACIA)
08/06/2013,NA,$150.00,Catherine O'Malley,K.O. Strategies
05/01/2013,Burns,$300.00,Graham Grady,Shefsky & Froelich Ltd.
05/04/2013,Hairston,$250.00,John George,"Schuyler, Roche & Crisham PC"
05/04/2013,NA,$250.00,John George,"Schuyler, Roche & Crisham PC"
05/27/2013,NA,$250.00,John George,"Schuyler, Roche & Crisham PC"
05/31/2013,Preckwinkle,$500.00,Mara Georges,Daley and Georges Ltd.
06/07/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/27/2013,NA,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2013,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2013,Cappleman,$250.00,Graham Grady,Shefsky & Froelich Ltd.
06/03/2013,Reboyras,$300.00,Graham Grady,Shefsky & Froelich Ltd.
09/24/2013,NA,$200.00,Michael Sutton,"Infrastructure Engineering, Inc."
04/15/2013,Moreno,$1500.00,Michael Paulos,Comcast
02/25/2013,Moore,$1500.00,Michael Paulos,Comcast
05/31/2013,Preckwinkle,$500.00,Mara Georges,Daley and Georges Ltd.
12/16/2013,NA,$0.00,Michele Nelson,InTime Solutions
04/17/2013,O'Connor,$100.00,Katriina McGuire,"Schain, Burney, Banks & Kenny, Ltd"
12/18/2013,Beale,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
12/17/2013,Silverstein,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/16/2013,Tunney,$250.00,James Houlihan,"ALL-CIRCO, Inc."
12/18/2013,Thompson,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/10/2013,Austin,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
12/31/2013,NA,$0.00,James Gilliam,JP Morgan Chase
11/28/2013,O'Connor,$250.00,Mary Minaghan dba MKM Services,MKM Services
09/19/2013,O'Connor,$500.00,John George,"Schuyler, Roche & Crisham PC"
11/22/2013,Ervin,$50.00,Sylvia Michas,"Chico & Nunes, PC"
12/01/2013,Pawar,$1500.00,Lisa Ouzounion,Comcast
10/01/2013,NA,$1500.00,Lisa Ouzounion,Comcast
10/01/2013,Suarez,$1500.00,Lisa Ouzounion,Comcast
10/23/2013,Burns,$500.00,Arnold Harris,Arnold Scott Harris PC
10/22/2013,Burke,$1500.00,Arnold Harris,Arnold Scott Harris PC
10/03/2013,Austin,$1000.00,John George,"Schuyler, Roche & Crisham PC"
10/25/2013,Fioretti,$1500.00,John George,"Schuyler, Roche & Crisham PC"
03/26/2014,NA,$0.00,Michele Nelson,InTime Solutions INC
01/26/2014,NA,$500.00,John Doerrer,Kaizen Inc
03/31/2014,NA,$0.00,Morgan Bassey,Harvestons Securities Inc
11/21/2013,Cardenas,$350.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
10/02/2013,NA,$250.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
03/12/2014,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/06/2014,NA,$250.00,Eileen Mitchell,AT&T Illinois
03/27/2014,Osterman,$500.00,Jason Lunderman,Comcast
02/17/2014,Fioretti,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
01/22/2014,O'Connor,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
03/12/2014,Cappleman,$250.00,Dean Maragos,"Maragos & Maragos, Ltd"
03/12/2014,Cullerton,$125.00,Dean Maragos,"Maragos & Maragos, Ltd"
02/28/2014,NA,$250.00,Dean Maragos,"Maragos & Maragos, Ltd"
02/13/2014,Laurino,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Cappleman,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/25/2014,Solis,$200.00,Brendan Shiller,Lakeview Strategy Group
02/19/2014,Harris,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/19/2014,Harris,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
02/18/2014,Cullerton,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
05/18/2014,Munoz,$500.00,Gery Chico,"Chico & Nunes, PC"
03/14/2014,Mitts,$1000.00,John Dunn,McGuireWoods Consulting
01/10/2014,Fioretti,$175.00,Montel Gayles,Hinshaw& Culbertson LLP
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
03/06/2014,Hairston,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
05/28/2014,Moore,$1000.00,Jerry Mickelson,"Jam Productions, Ltd"
05/15/2014,Zalewski,$500.00,William Griffin,William Griffin
04/28/2014,NA,$1000.00,John Doerrer,Kaizen Inc
05/08/2014,Austin,$1000.00,Mary Minaghan dba MKM Services,MKM Services
04/28/2014,Austin,$1000.00,Paul Williams,Paul Williams
06/25/2014,Tunney,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
04/17/2014,Moreno,$250.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
03/12/2014,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
05/22/2014,Fioretti,$150.00,Dean Maragos,"Maragos & Maragos, Ltd"
04/01/2014,NA,$150.00,Dean Maragos,"Maragos & Maragos, Ltd"
02/19/2015,Moore,$100.00,Lawrence Adelson,"Chico & Nunes, P.C."
01/12/2015,O'Connor,$500.00,Gery Chico,"Chico & Nunes, P.C."
01/14/2015,Burnett,$250.00,Gery Chico,"Chico & Nunes, P.C."
03/27/2015,Cochran,$250.00,Gery Chico,"Chico & Nunes, P.C."
02/18/2015,Moreno,$500.00,Gery Chico,"Chico & Nunes, P.C."
01/22/2015,Sposato,$200.00,Gery Chico,"Chico & Nunes, P.C."
03/24/2015,NA,$500.00,Marcus Nunes,"Chico & Nunes, P.C."
03/12/2014,Cullerton,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/22/2014,Mell,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/19/2015,Lopez,$100.00,Joseph Pilewski,Joseph Pilewski
01/22/2015,Maldonado,$500.00,Gery Chico,"Chico & Nunes, P.C."
03/27/2015,Cochran,$250.00,Gery Chico,"Chico & Nunes, P.C."
01/09/2015,O'Shea,$250.00,Graham Grady,Taft Stettinius & Hollister LLP
09/24/2014,Solis,$1000.00,Gery Chico,"Chico & Nunes, PC"
04/16/2014,O'Connor,$200.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/17/2014,Hairston,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Cappleman,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/12/2014,NA,$1500.00,Graham Grady,Taft Stettinius & Hollister LLP
02/19/2014,Harris,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
12/01/2014,Pope,$250.00,Jeanette Sublett,"Neal & Leroy, LLC"
01/16/2015,Graham,$150.00,Thomas Murphy,"Thomas J. Murphy, P.C."
06/04/2014,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/17/2014,Hairston,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
09/05/2014,O'Connor,$200.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Solis,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
03/12/2014,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/10/2014,Cullerton,$1000.00,Jerry Mickelson,"Jam Productions, Ltd"
07/01/2014,NA,$1500.00,Thomas Livingston,CSX Corporation
07/01/2014,Foulkes,$1000.00,Thomas Livingston,CSX Corporation
02/10/2015,Tunney,$500.00,Terrance Diamond,"Neal & Leroy, LLC"
03/12/2014,Harris,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Pawar,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/03/2014,Moore,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
04/24/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
03/12/2014,Harris,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
11/27/2014,NA,$250.00,John Doerrer,Kaizen Inc
07/01/2014,Hopkins,$1000.00,Mary Minaghan dba MKM Services,MKM Services
07/23/2014,Mendoza,$250.00,Mary Minaghan dba MKM Services,MKM Services
10/09/2014,Pawar,$150.00,Andrew Scott,"Dykema Gossett, PLLC"
02/05/2015,Mitts,$200.00,James Watson,Illinois Petroleum Council
09/05/2014,Burnett,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/29/2014,Hopkins,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
08/20/2014,O'Connor,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
08/14/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
12/15/2014,Lane,$1000.00,Thomas Livingston,CSX Corporation
06/04/2014,Burns,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/25/2014,Mendoza,$100.00,Graham Grady,Taft Stettinius & Hollister LLP
07/14/2014,Hairston,$150.00,Graham Grady,Taft Stettinius & Hollister LLP
10/07/2014,NA,$250.00,Sam Toia,Illinois Restaurant Association
03/18/2015,Mitts,$500.00,Mary Minaghan dba MKM Services,MKM Services
02/19/2015,Austin,$250.00,Mary Minaghan dba MKM Services,MKM Services
02/04/2015,Thompson,$500.00,Mary Minaghan dba MKM Services,MKM Services
01/08/2015,NA,$750.00,Jerry Mickelson,"Jam Productions, Ltd."
03/23/2015,Pope,$500.00,Jerry Mickelson,"Jam Productions, Ltd."
01/20/2015,Moore,$500.00,James Houlihan,"ALL-CIRCO, Inc."
07/01/2014,NA,$1500.00,Thomas Livingston,CSX Corporation
07/01/2014,Thompson,$1000.00,Thomas Livingston,CSX Corporation
02/09/2015,Zalewski,$500.00,Robert Molaro,Robert S. Molaro & Associates
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
03/12/2014,Cullerton,$250.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,O'Connor,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/23/2014,Laurino,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
10/23/2014,O'Connor,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
12/16/2014,Cappleman,$250.00,Michael Alexander,"Alexander & Borovicka Government Solutions, LLC"
10/24/2014,Hairston,$50.00,Danielle Cassel,Vedder Price PC
02/19/2015,Cardenas,$500.00,Paul Rosenfeld,"Government Navigation Group, Inc"
02/10/2015,Hopkins,$250.00,Paul Rosenfeld,"Government Navigation Group, Inc"
03/24/2015,NA,$250.00,Dennis O'Sullivan,Metropolitan Chicago Healthcare Council
01/29/2015,Harris,$125.00,Brendan Shiller,Lakeview Strategy Group
02/12/2015,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/20/2015,Hairston,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/20/2015,Burns,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/08/2015,Burns,$1000.00,Michael Sutton,"Infrastructure Engineering, Inc."
01/08/2015,Hairston,$1500.00,Michael Sutton,"Infrastructure Engineering, Inc."
06/09/2014,NA,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
08/20/2014,O'Connor,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
12/15/2014,Cardenas,$250.00,James Watson,American Petroleum Institute
11/20/2014,O'Connor,$150.00,James Watson,American Petroleum Institute
11/17/2014,Ervin,$150.00,James Watson,American Petroleum Institute
01/30/2015,O'Connor,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
02/17/2015,Mitchell,$75.00,Donovan Pepper,Walgreen Co.
02/11/2015,Solis,$150.00,Kate Tragesser,Krieg DeVault LLP
01/14/2015,Burnett,$500.00,Michael Ezgur,Michael Ezgur
02/18/2015,Moore,$250.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
02/17/2015,Hopkins,$500.00,Mark Fary,"Intergovernmental Consulting Group, Inc"
01/30/2015,Austin,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
01/30/2015,Mitts,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/15/2015,Pope,$500.00,John Dunn,McGuireWoods Consulting
01/26/2015,NA,$500.00,John Dunn,McGuireWoods Consulting
01/23/2015,NA,$500.00,John Dunn,McGuireWoods Consulting
02/20/2015,Thompson,$500.00,John Dunn,McGuireWoods Consulting
03/27/2015,Taliaferro,$1500.00,Michael Sutton,"Infrastructure Engineering, Inc."
12/02/2014,NA,$500.00,Arnold Harris,Arnold Scott Harris PC
10/20/2014,Harris,$500.00,Arnold Harris,Arnold Scott Harris PC
10/20/2014,O'Connor,$500.00,Arnold Harris,Arnold Scott Harris PC
02/19/2014,Harris,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
03/06/2014,Fioretti,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
02/12/2015,Cardenas,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Mitts,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/08/2014,NA,$0.00,Jody Joy,Federal Signal Corporation
01/13/2015,Smith,$100.00,Bridget O'Keefe,Daspin & Aument
03/31/2015,NA,$500.00,Thomas Manion,"Rory Group, LLC."
03/24/2015,NA,$500.00,Marcus Nunes,"Chico & Nunes, P.C."
03/28/2014,NA,$800.00,Jerome Schain,"Schain, Banks, Kenny & Schwartz, Ltd."
02/13/2014,Cappleman,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,Laurino,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
04/16/2014,O'Connor,$200.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Cardenas,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Laurino,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Osterman,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
08/08/2014,NA,$1500.00,John Doerrer,Kaizen Inc
10/30/2014,Reilly,$1000.00,Gery Chico,"Chico & Nunes, PC"
02/10/2015,Tunney,$500.00,Terrance Diamond,"Neal & Leroy, LLC"
02/17/2015,Laurino,$150.00,Michael Laube,Laube Consulting Group LLC
02/19/2015,Ervin,$250.00,Jan Starr,Jan Starr
01/14/2015,Burnett,$250.00,Gery Chico,"Chico & Nunes, P.C."
02/18/2015,Austin,$250.00,Gery Chico,"Chico & Nunes, P.C."
01/05/2015,Zalewski,$500.00,Jeffrey Glass,"Capitol Consulting Group Illinois, LLC"
01/27/2015,O'Connor,$1000.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Mitts,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Cardenas,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/12/2015,Harris,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/20/2015,Hairston,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/20/2015,Ervin,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
01/20/2015,Hairston,$300.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/18/2014,Dowell,$150.00,Elvin Charity,"Charity & Associates, P.C."
07/16/2014,Tunney,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/17/2014,Hairston,$300.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/11/2015,NA,$250.00,Kate Tragesser,Krieg DeVault LLP
02/11/2015,Solis,$150.00,Kate Tragesser,Krieg DeVault LLP
07/25/2014,NA,$150.00,Kate Tragesser,Krieg DeVault LLP
02/10/2014,Laurino,$250.00,John George,"Schuyler, Roche & Crisham, P.C."
01/24/2014,O'Connor,$100.00,John George,"Schuyler, Roche & Crisham, P.C."
05/07/2014,Austin,$100.00,Kate Tragesser,Krieg DeVault LLP
04/24/2014,Zalewski,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
04/29/2014,Hopkins,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
04/14/2014,Austin,$500.00,John George,"Schuyler, Roche & Crisham, P.C."
03/31/2014,Solis,$1000.00,John George,"Schuyler, Roche & Crisham, P.C."
08/19/2014,Fioretti,$150.00,Daniel Finkel,Wrigley Rooftop Management Corp
09/18/2014,NA,$1500.00,Jason Lunderman,Comcast
03/31/2014,NA,$500.00,Lawrence Suffredin,Lawrence Suffredin
09/10/2014,Solis,$500.00,Rolando Acosta,Law Offices of Rolando R Acosta PC
03/12/2014,Solis,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, P.C."
02/13/2014,O'Connor,$500.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
06/04/2014,Burns,$1000.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, P.C."
07/08/2014,Thompson,$1500.00,YaFawn Smith,Comcast
08/28/2014,Cardenas,$1500.00,YaFawn Smith,Comcast
09/25/2014,Brookins,$1500.00,YaFawn Smith,Comcast
